Title,Author,Pub_Info,Description
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Hayes, printer to the Universitie of Cambridge, anno Dom. 1670.","[2], 106, [12] p. ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge?] : Printed by John Hayes, printer to the University of Cambridge, Anno Dom. 1679.","[2], 106, [12] p. ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Hayes, printer to the University of Cambridge, anno Dom. 1683.","[2], 106, [10] p. ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Field, printer to the University of Cambridge, anno Dom. M.DC.LX.VI. [1666]","[2], 29, [5] p. ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Hayes, printer to the University of Cambridge, anno Dom. 1673.","[2], 106, [12] p. ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Hayes, printer to the University of Cambridge, anno Dom. 1675.","[2], 106, [12] ; 4â°."
"The vvhole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Oxford : printed at the Theater, 1679.","[2], 96, [6] p. ; 4â°."
"The vvonderful, and most deplorable history of the latter times of the Jevvs, and of the city of Hierusalem. Beginning where the Holy Scriptures do end. Written first in Hebrew, and now made more methodical, and corrected of sundry errors.",,"London : printed by J.L. for John Stafford, and are to be sold at the George at Fleet-bridge, 1653.","[18], 432, [8] p., [4] leaves of plates : ill., port. ; 8â°."
"The vvonderful, and most deplorable history of the latter times of the Jews, and of the city of Hierusalem. Beginning where the Holy Scriptures do end. Written first in Hebrew, and now made more methodical and corrected of sundry errors.",,"London : printed for John Stafford, and are to be sold at the George at Fleet-bridge, and by Humphrey Moseley at the Princes Arms in St. Pauls Church-yard, 1652.","[16], 432, [8] p. 4 leaves of plates : ill., port. ; 8â°."
"Whereas there is a clause in a bill brought into the Honourable House of Commons entituled, An Act for preventing frauds and regulating abuses in the plantation-trade, in these words, viz. And be it further enacted by the authority aforesaid, that no alien or foreigner or any person or persons other than such as are natives of England or Ireland, or such persons as are born in His Majesties plantations in Asia, Africa or America, shall after the [blank] day of",,"[London] : [s.n.], [1696?]",1 sheet ([1] p.) ; 1/2â° .
"The whole book of psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: & moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballades: which tend onely to the nourishing of vice, and corrupting of youth.",,"[London] : Printed for the Companie of Stationers, 1651.","504, [4] p., plate : music ; 8â°."
"The whole book of psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: & moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballades: which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by A. M[iller]. for the Companie of Stationers, 1653.","[2], 78 p. ; 8â°."
"The whole book of Psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by Gartrude Dawson for the Company of Stationers, 1653.","[2], 78 p. ; 4â°."
"The whole book of Psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all Churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: & moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballades: which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by A.M[iller]. for the Companie of Stationers, 1653.","[12], 3-99 [3] p. : music ; 8â°."
"The whole book of psalmes, collected into English meeter, by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer. As also before and after sermons, and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by R. W. for the Company of Stationers, 1658.","[2], 110, [4] p. : tables ; 4â°."
"The whole book of Psalmes. Collected into English meeter by Thomas Sternhold, John Hopkins, and others. Conferred with the Hebrew, with apt notes to sing them withal.",,"London : printed, by T.R. for the Company of Stationers, anno Domini 1662.","[2], 123 [i.e. 113], 134-188, [2] p. : music ; 4â°."
"The whole book of Psalmes: collected into English meter, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening praier. As also before an after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nurishing of vice, and corrupting of youth.",,"[Oxford] : At the Theater in Oxford, M. DC. LXXV. [1675]",[96] p. ; 4â°.
"The Whole book of Psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: & moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballades: which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by A.M. for the Companie of Stationers, 1651.","[2], 78 p. ; 8â°."
"The whole book of Psalmes: collected into English meeter by Thomas Sternhold, Iohn Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: & moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballades: which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by A.M. for the Companie of Stationers, 1655.","[2], 78 p. ; 8â°."
"The whole book of Psalmes: collected into English metre, by Thomas Sternhold, John Hopkins and others: conferr'd with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Dublin : printed by and for Andrew Crook, printer to the King's most Excellent Majesty, on the Blind Key, and Eliphal Dobson, at the Stationers-Arms in Castle Street, bookseller, 1700.","106, 106, 107, [6] p. ; 4â°."
"The whole book of Psalms: collected into English metre by Thomas Sternhold, John Hopkins, and others. Conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads; which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by J[ames]. C[ottrell]. for the Company of Stationers, 1676.","[2], 78 p. ; 24â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"[Cambridge] : Printed by John Hayes, printer to the University of Cambridge, anno Dom. 1676.","[2], 106, [12] p. ; 4â°."
"The whole book of Psalms: collected into English metre by Thomas Sternhold, John Hopkins, and others. Conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads; which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by J[ames]. C[ottrell]. for the Company of Stationers, 1676.","[2], 78 p. ; 8â°."
"The whole book of psalms. Collected into English meeter, by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew, with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, as also before and after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the",,"London : printed by William Godbid and Andrew Clark, for the Company of Stationers, 1677.",[144+] p. ; 2â°.
"The whole book of Psalms: collected into English metre, by T. Sternhold, J. Hopkins, W. Whittingham, and others. Conferred with the Hebrew. Newly set forth, and allowed to be sung in all churches of all the people together, before and after morning and evening-prayer; an also before and after sermons. Moreover, in private houses, for their godly solace and comfort: laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and",,"London : printed by J.C. for the Company of Stationers, 1679.","[22], 74, 55-230, [16] p. ; 24â°."
"The whole book of psalms. Collected into English meeter, by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew, with apt notes to sing them withal.",,"London : printed by J. M[acock]. for the Company of Stationers, MDCLXXX. [1680]",[152] p. : music ; 2â°.
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth, [sic]",,"[Oxford? : s.n., 1680?]","[4], 44, [2] p. ; 2â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: Set forth and allowed to be sung in all churches, of all the people together, and also before and after morning and evening prayer, and also before and after sermons; and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Printed at the Theater in Oxford : and are to be sold by Moses Pitt at the Angel in St. Pauls Church-yard, Peter Parker at the Leg and Star over against the Royal Exchange in Cornhill, William Leake at the Crown, between the two Temple-gates, in Fleet-street, Thomas Guy at the Oxford Arms at the West side of the Exchange in Cornhill, London, anno. 1682.","[6], 52 p. ; 4â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed for the Company of Stationers, 1682.","46, [2] p. ; 4â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set down and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Oxford : printed at the Theater, and are to be sold by Peter Parker at the Leg and Star over against the Royal Exchange in Cornhil, London, MDCLXXXII [1682]","[6], 50, [2+] p. ; 4â°."
"The whole book of Psalms: collected into English metre, by T. Sternhold, J. Hopkins, W. Whittingham. and others. Conferred with the Hebrew. Newly set forth, and allowed to be sung in all churches of all the people together, before and after morning and evening prayer; an also before and after sermons. Moreover, in private houses, for their godly solace and comfort: laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting",,"London : printed by W[illiam]. R[awlins]. for the Company of Stationers, 1682.",[240] p. ; 12â°.
"The whole book of Psalms, collected into English metre by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice and corrupting of youth.",,"London : printed for the Company of Stationers, 1682.","102, [2] p. ; 2â°."
"The Whole book of Psalms set forth and allowed to be sung in all churches of all the people together, before and after morning and evening prayer, and also before and after sermons, and moreover, in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice and corrupting of youth / collected into English metre by Thomas Sternhold, John Hopkins, and others ; conferred with the Hebrew.",,"London : Printed for the Company of Stationers, 1682.","46, [2] p."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Oxford : printed at the Theatre, and are to be sold by Thomas Guy at the Oxford Arms on the west-side of the Royal Exchange in Cornhill, London, anno. Dom. 1685.",96 p. : 2â°.
"The whole book of Psalms, collected into English metre by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Oxford : printed at the Theater, and are to be sold by Thomas Guy at the Oxford Arms on the west-side of the Royal Exchange in Cornhil, London, 1685.","[6], 50, [4] p. ; 4â°."
"The Whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by T. Hodgkin and M. Flesher for the Company of Stationers, 1688.","[6], 54, [2] p. ; 2â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches; of all the people together, before and after morning and evening prayer, and also before an after sermons, and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by J. Richardson, and T. Hodgkin, for the Company of Stationers, 1697.","[6], 52, [6] p. ; 2â°."
"The whole book of Psalms collected into English meeter by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew, with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together, before and after morning an evening prayer, as also before and after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing",,"London : printed by T.N. for the Company of Stationers, 1662.","[18], 58, 49-123 [13] p. ; 2â°."
"The Whole book of Psalms collected into English meeter by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew, with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, as also before and after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing",,"London : printed by T. N[ewcomb]. for the Company of Stationers, 1669.","[16], 19, 19-65 p. 62, 69-71, 71-120, [14] p. ; 2â°."
"The whole book of Psalms: collected into English meeter by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons: and moreover in private houses for their godly solace and comfort, laying apart all ungodly songs and ballads; which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed by T.R. for the Company of Stationers, 1669.","[2], 78 p. ; 8â°."
"The whole book of Psalms collected into English meeter, by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew, with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, as also before and after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the",,"London : printed by T.N. for the Company of Stationers, 1673.",[152] p. : music ; 2â°.
"The Whole book of Psalms collected into English meeter, by Thomas Sternhold, John Hopkins, and others ; conferred with the Hebrew, with apt notes to sing them withal ; set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, as also before and after sermons, and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the",,"London : Printed by J.M. for the Company of Stationers, MDCLXXXVII.",[128] p. : : music. 2â°.
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others conferred with the Hebrew: set down and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"[Oxford] : Printed at the Theater in Oxford, and are to be sold by Moses Pitt at the Angel in St. Pauls Church-yard, Peter Parker at the Leg and Star over against the Royal Exchange in Cornhil, Ann Leake over against Dean-street in Fetter-lane, Thomas Guy at the Oxford Arm at the West side of the Royal Exchange in Cornhil, London, Anno 1682.","[16], 11-50, [4] p. ; 4."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"[Oxford] : printed at the Theater in Oxford, and are to be sold by Moses Pitt at the Angel in St. Pauls Church-yard, Peter Parker at the Leg and Star over against the Royal Exchange in Cornhill, William Leake at the Crown, between the two Temple-gates, in Fleet-street, Thomas Guy at the Oxford Arms at the west side of the Exchange in Cornhil, London, anno 1682.","[6], 56, [2] p. ; 2â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth,",,"[Oxford : s.n., 1684?]","[4], 44, [2] p. ; 2â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth,",,"[Oxford : s.n., 1685?]","[4], 44 p. ; 2â°."
"The whole book of Psalms: collected into English metre, by Thomas Sternhold, John Hopkins, and others. Conferr'd with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before an after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"London : printed by John Leake, for the Company of Stationers, M DC XCIII. [1693]","107, [5] p. ; 4â°."
"The whole book of Psalms: collected into English metre, by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening-prayer, and also before and after sermons, and moreover in private houses for their godly solace and comfort: laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed for the Company of Stationers, 1661.","[4], 212 p. ; 8â°."
"The whole book of Psalms: collected into English metre, by Thomas Sternhold, John Hopkins, and others conferred with the Hebrew.",,"Dublin : printed by John Crook, printer to the King's most Excellent Majesty, M DC LX I. [1661]","[2], 152, [14] p. ; 4â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice, and corrupting of youth.",,"London : printed for the Company of Stationers, 1678.","97, [7] p. ; 4â°."
"The whole book of PsalmsÂ· Collected into English metre by Thomas Sternhold, John Hopkins, and others. Conferred with the Hebrew, with apt notes to sing them withall.",,"London : printed for the Company of Stationers, MDCLXXX. [1680]","[2], 153, [3] p. : music ; 4â°."
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others conferred with the Hebrew: set down and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"[Oxford] : Printed at the Theater in Oxford, and are to be sold by Moses Pitt at the Angel in St. Pauls Church-yard, Peter Parker at the Leg and Star over against the Royal Exchange in Cornhil, Ann Leake over against Dean-street in Fetter-lane, Thomas Guy at the Oxford Arm at the West side of the Royal Exchange in Cornhil, London, anno 1682.",[60] p. ; 4â°.
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend only to the nourishing of vice, and corrupting of youth.",,"Oxford : printed at the Theatre; and are to be sold by Peter Parker at the Leg and Star over against the Royal Exchange in Cornhill, London, anno. Dom. 1685.",96 p. ; 2â°.
"The whole book of Psalms, collected into English metre, by Thomas Sternhold, John Hopkins, and others, conferred with the Hebrew: set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons; and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing of vice and corrupting of youth.",,"Oxford : printed at the Theatre, An. 1685.","[2], 70 p. ; 12â°."
"The whole booke of Psalmes collected into English meeter by Thomas Sternhold, John Hopkins, and others: conferred with the Hebrew; with apt notes to sing them withall. Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, as also before & after sermons: and moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend onely to the nourishing",,"London : printed by S.G. for the Company of Stationers, 1661.","[19], 153, [16] p. : music ; 2â°."
"The Whole booke of Psalmes collected into English meter by Tho. Sternhold, John Hopkins, W. Whittingham and others ; conferred with the Hebrew ; with apt notes to sing them withall ; newly set forth, and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer, and also before and after sermons, moreover in private houses, for their godly solace and comfort, laying apart all ungodly songs and ballads, which tend",,"London : Printed by M.F. for the Company of Stationers, 1682.","330, [6] p. : music. 24â°."
"The young-students-library, containing, extracts and abridgments of the most valuable books printed in England, and in the forreign journals, from the year sixty five, to this time. To which is added, a new essay upon all sorts of learning; wherein the use of the science is distinctly treated on. By the Athenian Society. Also, a large alphabetical table, comprehending the contents of this volume. And of all the Athenian Mercuries and supplements, &c. printed in the",,"London : printed for John Dunton, at the Raven in the Poultry. Where is to be had the intire sett of Athenian Gazettes, and the Supplements to 'em for the year, 1691. bound up all together, (with the alphabetical table to the whole year) or else in separate volumes, (or single Mercuries to this time), 1692.","[6], xviii, 240, [2], 241-289, 288-316, 321-479, [17] p., [1] leaf of plates : ill. ; 2â°."
"An advertisement to the jury-men of England, touching witches. Together with a difference between an English and Hebrew vvitch.","Filmer, Robert, Sir, -1653.","London : printed by I.G. for Richard Royston, at the Angel in Ivie-lane, 1653.","[8], 24 p. ; 4â°."
"An answer to the rector of Bury's letter to his friendÂ· Wherein is shew'd, that he has effectually, tho' unwllingly acquitted the dissenters from his malicious charge of their being corrupters of the Word of God. That his attempts against the titles of the Psalms, and Hebrew Bibles are feeble and inconsistent. By James Owen.","Owen, James, 1654-1706.","London : printed by S. Bridge, for Tho. Parkhurst at the Bible and Three Crowns in Cheapside near Mercers-Chapel, 1699.","22, [2] p. ; 4â°."
"Arnoldi BoÃ³tii vindiciae, sev Apodixis apologetica, pro Hebraica veritate, contra duos nouissimos & insensissimos eius hostes, Iohannem Morinvm et Lvdovicvm Capellvm: quibus sacrosanctus textus Hebr. Ã","Boate, Arnold, 1600?-1653?.","Parisiis : impensis authoris & Th. Pvllen, BibliopolÃ¦ Londiensis, M. DC. LIII [1653].","[8], 240 p. ; 4â°."
"Bibliotheca curiosa, or, A choice collection of books, in English, Latin, French, Italian, Spanish, Greek and Hebrew, in all volumes; being lately the library of an eminent merchant (deceased,) in the city of London, and many of them collected in his travels, consisting of divinity, history, travels, voyages, mercantile affairs, civil law, physick, architecture, perspective and antiquities; particularly here are Antiquitatum Romanarum cum multis figuris, in 4 vol.","Tillotson, John, 1630-1694.","[London : s.n., 1697]","[26], 28+ p. ; 4â°."
"Bibliotheca hornecciana: or a catalogue of valuable and choice books in Hebrew, Greek, Latin, English, French, Spanish, Italian and Dutch.","Humphryes, John.","[London] : Catalogues may be had at Mr. Henchmans in Westminster-Hall, Mr. Browns at the Black-Swan without Temple-Bar, Mr. Parkers under the Royal Exchange in Cornhill, and the place of sale, [1697]","[2], 26 p. ; 4â°."
"Bibliotheca Tillotsoniana: or A catalogue of the curious library of Dr. John Tillotson late Lord Archbishop of Canterbury. Containing, a collection of Greek and Latin fathers, councils, historians (ecclesiastical and civil) philosophers, poets, orators, lexicographers, &c. all of the best editions and neatly bound. Together with the library of Mr. Seth-Mountley Buncle, late master of Mercers school, London. Consisting of Hebrew, Chaldaick, Syriack, Persick, and","Skidmore, Thomas, 1605-1684.","[London] : Catalogues are to be sold for six-pence apiece by Mr. Jos. Hindmarsh over-against the Royal-Exchange in Cornhil; Mr. James Partridge at the Post-Office near Charing-cross; (and at the place of sale.) By Mrs. Dickenson at Cambridge, and Mr. H. Clements at Oxford, 1695.","[4], 87, [1] p. ; 8â°."
"The bios pantÅn heideotos, or, [Hebrew] or the vision of eternity held forth, in answer to some antiquÃ¦ries, vvhich were given forth from Ã†gypt by one of Babels builders, a pretended minister of Christ, living in Worcestershire at Beudly, that is called Mr. Henry Osland. But the quÃ¦ries were given forth as the following papers declare, out of simplicity of heart, for satisfaction of the truth: but instead of giving a reasonable account to him that asks, he","Shaw, John, 1614-1689.","London : printed for Giles Calvert at the black spread-Eagle neer the west end of Pauls, 1657.","[4], 22 p. ; 4â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre: to be sung in usual and known tunes. Fitted for the ready use, and understanding of all good Christians. By William Barton Mr. of Arts.","London, William, active 1658.","London : printed by Roger Daniel, and William Du-Gard, and are to be sold by Francis Eglesfield, and Thomas Underhill, in S. Pauls Church yard, and Francis Tyton, at the three daggers near the Temple in Fleetstreet, 1654.","[36], 323, [1] p. : music ; 12â°."
"The book of Psalms in metre. Close and proper to the Hebrew: smooth and pleasant for the metre: to be sung in usuall and known tunes. Fitted for the ready use, and understanding of all good Christians. By William Barton Mr. of Arts.","London, William, active 1658.","London : printed by Roger Daniel, and William Du-Gard, and are to be sold by Frances Eglesfield, and Thomas Underhill, in S. Pauls Church yard, and Francis Tyton at the three daggers near the temple in Fleetstreet, 1654.","[18], 323, [1] p. : music. ; 12â°."
